date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:43:02	6476/6476	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202024%2011:06:28%20GMT	https://web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:02	292/292	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202024%2011:05:57%20GMT	https://web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:02	294/294	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202024%2011:05:56%20GMT	https://web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:02	913/913	---M--	200	added ('OK')	image/gif	date:Sat,%2016%20Nov%202024%2011:07:29%20GMT	https://web.archive.org/_static/images/loading.gif	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/images/loading.gif	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:47%20GMT	https://web.archive.org/web/20130530032451js_/http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/pagead2.googlesyndication.com/pagead/show_ads.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:03	18072/18072	---MC-	200	added ('OK')	text/javascript	date:Sun,%2012%20Jan%202025%2000:43:48%20GMT	https://web.archive.org/web/20130530030821js_/http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530030821js_/http_/pagead2.googlesyndication.com/pagead/show_ads.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:48%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/login/return_url/64-Lw%3D%3D	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/login/return_url/64-Lw==	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:49%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/signup	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/signup	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:49%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/public/admin/nplay_logo.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/public/admin/nplay_logo.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:05	3660/3660	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202025%2000:43:49%20GMT	https://web.archive.org/web/20130424122347im_/http://www.nplay.com/public/admin/nplay_logo.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424122347im_/http_/www.nplay.com/public/admin/nplay_logo.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:50%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/BeGone	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/BeGone	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:51%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/forums	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/forums	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:52%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/members	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/members	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:52%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/clans	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/clans	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
